"lineage","det_C","det_D","det_H","pct_D","pct_H","med_D","med_H"
"vestibularis",21,29,24,100,100,0.00028,9.91e-05
"parasanguinis_F",17,28,17,97,71,1.57e-05,3.94e-06
"sp000187445",21,29,24,100,100,0.000161,6.2e-05
"intermedius",9,20,6,69,25,2.64e-06,0
"sp003521145",21,29,24,100,100,0.000212,0.000102
"parasanguinis",18,29,22,100,92,4.88e-05,1.01e-05
"parasanguinis_C",17,28,15,97,62,1.62e-05,2.4e-06
"parasanguinis_G",16,28,13,97,54,1e-05,1.69e-06
"sp001813295",17,28,15,97,62,1.33e-05,2.42e-06
"parasanguinis_D",16,27,16,93,67,1.4e-05,2.28e-06
"parasanguinis_E",16,28,15,97,62,1.39e-05,2.4e-06
"parasanguinis_B",16,26,14,90,58,1.16e-05,2.01e-06
"sp900755085",12,23,7,79,29,4e-06,0
"sp902373455",14,25,11,86,46,6.33e-06,0
"sp001578805",11,23,7,79,29,4.77e-06,0
"parasanguinis_A",16,28,17,97,71,1.63e-05,3.46e-06
"sp902836505",15,24,9,83,38,8.59e-06,0
"alactolyticus",4,16,1,55,4,1.4e-06,0
