"Lineage","beta_D","CI_D","q_D","beta_C","CI_C","Det"
"parasanguinis_G","2.28","1.34 to 3.22","0.016","1.14","0.10 to 2.18","28/16/13"
"sp001813295","2.22","1.30 to 3.13","0.016","1.08","0.07 to 2.10","28/17/15"
"parasanguinis_B","2.11","1.10 to 3.12","0.041","1.24","0.12 to 2.36","26/16/14"
"parasanguinis_D","2.10","1.09 to 3.10","0.041","1.10","-0.02 to 2.21","27/16/16"
"parasanguinis_C","2.09","1.13 to 3.05","0.036","1.06","-0.00 to 2.12","28/17/15"
"parasanguinis_E","2.08","1.13 to 3.04","0.036","0.90","-0.16 to 1.95","28/16/15"
"sp001578805","2.04","1.20 to 2.88","0.016","0.61","-0.33 to 1.54","23/11/7"
"sp900755085","2.04","1.17 to 2.91","0.022","1.09","0.12 to 2.06","23/12/7"
"sp902836505","1.97","1.04 to 2.90","0.041","0.85","-0.18 to 1.88","24/15/9"
"parasanguinis","1.94","1.03 to 2.85","0.041","0.54","-0.47 to 1.55","29/18/22"
"parasanguinis_A","1.94","0.98 to 2.90","0.046","0.74","-0.32 to 1.81","28/16/17"
"sp902373455","1.94","1.01 to 2.87","0.041","1.03","-0.00 to 2.06","25/14/11"
"parasanguinis_F","1.92","0.96 to 2.89","0.047","1.05","-0.01 to 2.12","28/17/17"
"intermedius","1.63","0.81 to 2.45","0.047","0.50","-0.41 to 1.40","20/9/6"
"alactolyticus","1.50","0.76 to 2.24","0.045","0.16","-0.66 to 0.98","16/4/1"
"sp000187445","1.35","0.69 to 2.02","0.046","0.94","0.20 to 1.69","29/21/24"
"vestibularis","1.29","0.70 to 1.88","0.036","0.46","-0.20 to 1.11","29/21/24"
"sp003521145","1.18","0.61 to 1.76","0.042","0.45","-0.18 to 1.09","29/21/24"
